Afghanistan , 31056997 , 700 , 21739897900 , 36.0 , 3.2
Albania , 3581655 , 4500 , 16117447500 , 86.5 , 71.2
Algeria , 32930091 , 6000 , 197580546000 , 70.0 , 78.1
American Samoa , 57794 , 8000 , 462352000 , 97.0 , 259.5
Andorra , 71201 , 19000 , 1352819000 , 100.0 , 497.2
Angola , 12127071 , 1900 , 23041434900 , 42.0 , 7.8
Anguilla , 13477 , 8600 , 115902200 , 95.0 , 460.0
Antigua & Barbuda , 69108 , 11000 , 760188000 , 89.0 , 549.9
Argentina , 39921833 , 11200 , 447124529600 , 97.1 , 220.4
Armenia , 2976372 , 3500 , 10417302000 , 98.6 , 195.7
Aruba , 71891 , 28000 , 2012948000 , 97.0 , 516.1
Australia , 20264082 , 29000 , 587658378000 , 100.0 , 565.5
Austria , 8192880 , 30000 , 245786400000 , 98.0 , 452.2
Azerbaijan , 7961619 , 3400 , 27069504600 , 97.0 , 137.1
Bahamas, The , 303770 , 16700 , 5072959000 , 95.6 , 460.6
Bahrain , 698585 , 16900 , 11806086500 , 89.1 , 281.3
Bangladesh , 147365352 , 1900 , 279994168800 , 43.1 , 7.3
Barbados , 279912 , 15700 , 4394618400 , 97.4 , 481.9
Belarus , 10293011 , 6100 , 62787367100 , 99.6 , 319.1
Belgium , 10379067 , 29100 , 302030849700 , 98.0 , 462.6
Belize , 287730 , 4900 , 1409877000 , 94.1 , 115.7
Benin , 7862944 , 1100 , 8649238400 , 40.9 , 9.7
Bermuda , 65773 , 36000 , 2367828000 , 98.0 , 851.4
Bhutan , 2279723 , 1300 , 2963639900 , 42.2 , 14.3
Bolivia , 8989046 , 2400 , 21573710400 , 87.2 , 71.9
Bosnia & Herzegovina , 4498976 , 6100 , 27443753600 , 82.8 , 215.4
Botswana , 1639833 , 9000 , 14758497000 , 79.8 , 80.5
Brazil , 188078227 , 7600 , 1429394525200 , 86.4 , 225.3
British Virgin Is. , 23098 , 16000 , 369568000 , 97.8 , 506.5
Brunei , 379444 , 18600 , 7057658400 , 93.9 , 237.2
Bulgaria , 7385367 , 7600 , 56128789200 , 98.6 , 336.3
Burkina Faso , 13902972 , 1100 , 15293269200 , 26.6 , 7.0
Burma , 47382633 , 1800 , 85288739400 , 85.3 , 10.1
Burundi , 8090068 , 600 , 4854040800 , 51.6 , 3.4
Cambodia , 13881427 , 1900 , 26374711300 , 69.4 , 2.6
Cameroon , 17340702 , 1800 , 31213263600 , 79.0 , 5.7
Canada , 33098932 , 29800 , 986348173600 , 97.0 , 552.2
Cape Verde , 420979 , 1400 , 589370600 , 76.6 , 169.6
Cayman Islands , 45436 , 35000 , 1590260000 , 98.0 , 836.3
Central African Rep. , 4303356 , 1100 , 4733691600 , 51.0 , 2.3
Chad , 9944201 , 1200 , 11933041200 , 47.5 , 1.3
Chile , 16134219 , 9900 , 159728768100 , 96.2 , 213.0
China , 1313973713 , 5000 , 6569868565000 , 90.9 , 266.7
Colombia , 43593035 , 6300 , 274636120500 , 92.5 , 176.2
Comoros , 690948 , 700 , 483663600 , 56.5 , 24.5
Congo, Dem. Rep. , 62660551 , 700 , 43862385700 , 65.5 , 0.2
Congo, Repub. of the , 3702314 , 700 , 2591619800 , 83.8 , 3.7
Cook Islands , 21388 , 5000 , 106940000 , 95.0 , 289.9
Costa Rica , 4075261 , 9100 , 37084875100 , 96.0 , 340.7
Cote d'Ivoire , 17654843 , 1400 , 24716780200 , 50.9 , 14.6
Croatia , 4494749 , 10600 , 47644339400 , 98.5 , 420.4
Cuba , 11382820 , 2900 , 33010178000 , 97.0 , 74.7
Cyprus , 784301 , 19200 , 15058579200 , 97.6 , 236.1
Czech Republic , 10235455 , 15700 , 160696643500 , 99.9 , 314.3
Denmark , 5450661 , 31100 , 169515557100 , 100.0 , 614.6
Djibouti , 486530 , 1300 , 632489000 , 67.9 , 22.8
Dominica , 68910 , 5400 , 372114000 , 94.0 , 304.8
Dominican Republic , 9183984 , 6000 , 55103904000 , 84.7 , 97.4
East Timor , 1062777 , 500 , 531388500 , 58.6 , 236.1
Ecuador , 13547510 , 3300 , 44706783000 , 92.5 , 125.6
Egypt , 78887007 , 4000 , 315548028000 , 57.7 , 131.8
El Salvador , 6822378 , 4800 , 32747414400 , 80.2 , 142.4
Equatorial Guinea , 540109 , 2700 , 1458294300 , 85.7 , 18.5
Eritrea , 4786994 , 700 , 3350895800 , 58.6 , 7.9
Estonia , 1324333 , 12300 , 16289295900 , 99.8 , 333.8
Ethiopia , 74777981 , 700 , 52344586700 , 42.7 , 8.2
Faroe Islands , 47246 , 22000 , 1039412000 , 82.8 , 503.8
Fiji , 905949 , 5800 , 5254504200 , 93.7 , 112.6
Finland , 5231372 , 27400 , 143339592800 , 100.0 , 405.3
France , 60876136 , 27600 , 1680181353600 , 99.0 , 586.4
French Guiana , 199509 , 8300 , 1655924700 , 83.0 , 255.6
French Polynesia , 274578 , 17500 , 4805115000 , 98.0 , 194.5
Gabon , 1424906 , 5500 , 7836983000 , 63.2 , 27.4
Gambia, The , 1641564 , 1700 , 2790658800 , 40.1 , 26.8
Gaza Strip , 1428757 , 600 , 857254200 , 82.8 , 244.3
Georgia , 4661473 , 2500 , 11653682500 , 99.0 , 146.6
Germany , 82422299 , 27600 , 2274855452400 , 99.0 , 667.9
Ghana , 22409572 , 2200 , 49301058400 , 74.8 , 14.4
Gibraltar , 27928 , 17500 , 488740000 , 82.8 , 877.7
Greece , 10688058 , 20000 , 213761160000 , 97.5 , 589.7
Greenland , 56361 , 20000 , 1127220000 , 82.8 , 448.9
Grenada , 89703 , 5000 , 448515000 , 98.0 , 364.5
Guadeloupe , 452776 , 8000 , 3622208000 , 90.0 , 463.8
Guam , 171019 , 21000 , 3591399000 , 99.0 , 492.0
